sequence,timestamp,class
0,1602471831777,5
1,1602471831814,5
2,1602471831845,5
3,1602471831877,5
4,1602471831913,5
5,1602471831945,5
6,1602471831981,5
7,1602471832013,5
8,1602471832045,5
9,1602471832081,5
10,1602471832113,5
11,1602471832145,5
12,1602471832181,5
13,1602471832213,5
14,1602471832245,5
15,1602471832283,5
16,1602471832313,5
17,1602471832350,5
18,1602471832382,5
19,1602471832413,5
20,1602471832449,5
21,1602471832481,5
22,1602471832513,5
23,1602471832549,5
24,1602471832581,5
25,1602471832615,5
26,1602471832651,5
27,1602471832681,5
28,1602471832718,5
29,1602471832749,0
30,1602471832782,0
31,1602471832817,0
32,1602471832849,0
33,1602471832881,0
34,1602471832917,0
35,1602471832949,0
36,1602471832982,0
37,1602471833017,0
38,1602471833049,0
39,1602471833085,0
40,1602471833117,0
41,1602471833149,0
42,1602471833185,0
43,1602471833217,0
44,1602471833249,0
45,1602471833285,0
46,1602471833317,0
47,1602471833353,0
48,1602471833385,0
49,1602471833418,0
50,1602471833454,0
51,1602471833485,0
52,1602471833517,0
53,1602471833553,0
54,1602471833585,0
55,1602471833618,0
56,1602471833653,0
57,1602471833685,0
58,1602471833721,0
59,1602471833753,0
60,1602471833786,0
61,1602471833822,0
62,1602471833853,0
63,1602471833885,0
64,1602471833921,0
65,1602471833953,0
66,1602471833985,0
67,1602471834022,0
68,1602471834054,0
69,1602471834089,0
70,1602471834121,0
71,1602471834153,0
72,1602471834189,0
73,1602471834221,0
74,1602471834253,0
75,1602471834289,0
76,1602471834321,0
77,1602471834353,0
78,1602471834389,0
79,1602471834421,0
80,1602471834457,0
81,1602471834489,0
82,1602471834521,0
83,1602471834557,0
84,1602471834589,0
85,1602471834624,0
86,1602471834658,0
87,1602471834689,0
88,1602471834721,0
89,1602471834757,0
90,1602471834789,0
91,1602471834826,0
92,1602471834858,0
93,1602471834889,0
94,1602471834925,0
95,1602471834957,0
96,1602471834989,0
97,1602471835025,0
98,1602471835057,0
99,1602471835089,0
100,1602471835125,0
101,1602471835157,0
102,1602471835193,0
103,1602471835225,0
104,1602471835257,0
105,1602471835293,0
106,1602471835325,0
107,1602471835357,0
108,1602471835393,0
109,1602471835425,0
110,1602471835457,0
111,1602471835493,0
112,1602471835525,0
113,1602471835561,0
