sequence,timestamp,class
0,1601877652777,5
1,1601877652813,5
2,1601877652845,5
3,1601877652877,5
4,1601877652913,5
5,1601877652945,5
6,1601877652981,5
7,1601877653013,5
8,1601877653045,5
9,1601877653081,5
10,1601877653113,5
11,1601877653146,5
12,1601877653182,5
13,1601877653213,5
14,1601877653245,5
15,1601877653281,5
16,1601877653313,5
17,1601877653349,5
18,1601877653383,5
19,1601877653414,5
20,1601877653450,5
21,1601877653481,5
22,1601877653513,5
23,1601877653550,5
24,1601877653582,5
25,1601877653614,5
26,1601877653651,5
27,1601877653681,5
28,1601877653717,5
29,1601877653750,5
30,1601877653781,5
31,1601877653818,5
32,1601877653850,5
33,1601877653882,5
34,1601877653918,5
35,1601877653950,5
36,1601877653982,5
37,1601877654018,5
38,1601877654050,5
39,1601877654086,0
40,1601877654118,0
41,1601877654150,0
42,1601877654186,0
43,1601877654218,0
44,1601877654250,0
45,1601877654286,0
46,1601877654318,0
47,1601877654354,0
48,1601877654387,0
49,1601877654420,0
50,1601877654454,0
51,1601877654486,0
52,1601877654518,0
53,1601877654554,0
54,1601877654589,0
55,1601877654619,0
56,1601877654654,0
57,1601877654686,0
58,1601877654722,0
59,1601877654754,0
60,1601877654785,0
61,1601877654822,0
62,1601877654854,0
63,1601877654886,0
64,1601877654922,0
65,1601877654954,0
66,1601877654986,0
67,1601877655022,0
68,1601877655054,0
69,1601877655090,0
70,1601877655122,0
71,1601877655154,0
72,1601877655190,0
73,1601877655222,0
74,1601877655254,0
75,1601877655290,0
76,1601877655322,0
77,1601877655354,0
78,1601877655390,0
79,1601877655423,0
80,1601877655461,0
81,1601877655491,0
82,1601877655522,0
83,1601877655559,0
84,1601877655591,0
85,1601877655622,0
86,1601877655658,0
87,1601877655690,0
88,1601877655722,0
89,1601877655758,0
90,1601877655792,0
91,1601877655826,0
92,1601877655858,0
93,1601877655890,0
94,1601877655927,0
95,1601877655959,0
96,1601877655990,0
97,1601877656026,0
98,1601877656058,0
99,1601877656092,0
100,1601877656126,0
101,1601877656159,0
102,1601877656194,0
103,1601877656227,0
104,1601877656258,0
105,1601877656294,0
106,1601877656326,0
107,1601877656358,0
108,1601877656394,0
109,1601877656426,0
110,1601877656458,0
111,1601877656494,0
112,1601877656526,0
113,1601877656562,0
114,1601877656594,0
115,1601877656626,0
116,1601877656662,0
117,1601877656694,0
118,1601877656726,0
119,1601877656762,0
120,1601877656794,0
121,1601877656826,0
122,1601877656862,0
123,1601877656895,0
124,1601877656930,0
125,1601877656963,0
126,1601877656995,0
127,1601877657031,0
128,1601877657062,0
129,1601877657094,0
130,1601877657131,0
131,1601877657162,0
132,1601877657194,0
133,1601877657231,0
134,1601877657262,0
135,1601877657299,0
136,1601877657332,0
137,1601877657364,0
138,1601877657399,0
139,1601877657431,0
140,1601877657463,0
141,1601877657500,0
142,1601877657531,0
143,1601877657563,0
144,1601877657599,0
145,1601877657631,0
146,1601877657667,0
147,1601877657700,0
148,1601877657731,0
149,1601877657767,0
150,1601877657799,0
151,1601877657831,0
152,1601877657867,0
153,1601877657900,0
154,1601877657935,0
155,1601877657967,0
156,1601877657998,0
157,1601877658035,0
158,1601877658067,0
159,1601877658099,0
160,1601877658135,0
161,1601877658167,0
162,1601877658199,0
163,1601877658235,0
164,1601877658267,0
165,1601877658305,0
166,1601877658336,0
167,1601877658368,0
168,1601877658403,0
169,1601877658436,0
170,1601877658467,0
171,1601877658503,0
172,1601877658535,0
173,1601877658568,0
174,1601877658604,0
175,1601877658636,0
176,1601877658675,0
177,1601877658703,0
178,1601877658735,0
179,1601877658771,0
180,1601877658803,0
181,1601877658835,0
182,1601877658871,0
183,1601877658903,0
184,1601877658938,0
185,1601877658971,0
186,1601877659004,0
187,1601877659039,0
188,1601877659071,0
189,1601877659103,0
190,1601877659139,0
191,1601877659171,0
192,1601877659203,0
193,1601877659239,0
194,1601877659271,0
195,1601877659303,0
196,1601877659339,0
197,1601877659371,0
198,1601877659407,0
199,1601877659439,0
200,1601877659471,0
201,1601877659507,0
202,1601877659539,0
203,1601877659572,0
204,1601877659608,0
205,1601877659640,0
206,1601877659672,0
207,1601877659707,0
208,1601877659739,0
209,1601877659776,0
210,1601877659808,0
211,1601877659839,0
212,1601877659875,0
213,1601877659907,0
214,1601877659939,0
215,1601877659975,0
216,1601877660007,0
217,1601877660039,0
218,1601877660075,0
219,1601877660107,0
220,1601877660143,0
221,1601877660175,0
222,1601877660208,0
223,1601877660243,0
224,1601877660275,0
225,1601877660307,0
226,1601877660343,0
227,1601877660376,0
228,1601877660408,0
229,1601877660444,0
230,1601877660476,0
231,1601877660512,0
